company_name,establishment_name,state,naics_code,industry_description,size,employees,total_injuries,total_deaths,total_dafw_cases,total_djtr_cases,risk_score,normalized_risk,injury_rate,fatality_rate,severity_load,lost_time_index,industry_avg_risk,risk_z_score,risk_category
US Postal Service,SOUTH DEKALB_1382140,GA,491110,Mail and Parcel Delivery,1,2.0,1,0,0,1,2.86,1430.0,500.0,0.0,1,36,9.91,-0.46,NORMAL RISK
US Postal Service,KENNER_1368861,LA,491110,Mail and Parcel Delivery,21,25.0,11,0,8,1,35.7,1428.0,440.0,0.0,9,720,9.91,1.69,ABOVE AVERAGE RISK
The Yerba Mate Co.,YMCO South San Francisco,CA,424990,"General merchandise, nondurable goods, merchant wholesalers",1,9.0,4,0,4,0,12.83,1425.56,444.44,0.0,4,83,2.99,1.28,ABOVE AVERAGE RISK
Arnott Industries,Arnott Industries,FL,332613,"Automobile suspension springs, heavy gauge metal, manufacturing",3,15.0,13,0,4,0,21.35,1423.33,866.67,0.0,4,35,8.57,0.8,NORMAL RISK
Loudoun County Government,Loudoun County Fire and Rescue Station 11 and 15,VA,922160,"Fire departments (e.g., government, volunteer (except private))",1,18.0,6,1,5,0,25.53,1418.33,333.33,55.56,10,453,19.65,0.09,NORMAL RISK
County Of Peoria,048 Juvenile Detention Center,IL,922140,Detention centers,21,53.0,28,0,14,8,75.13,1417.55,528.3,0.0,22,713,60.23,0.14,NORMAL RISK
"May Institute, Inc.",Wilmington School - School,MA,623220,"Alcoholism rehabilitation facilities (except licensed hospitals), residential",21,50.0,32,0,14,5,70.76,1415.2,640.0,0.0,19,326,8.34,3.14,CRITICAL OUTLIER
Leslie's Poolmart Inc,Store 1062,CA,453998,Swimming pool supply stores,1,2.0,1,0,0,1,2.83,1415.0,500.0,0.0,1,33,1.11,0.77,NORMAL RISK
Related Management Company LP,Related Management Company LP Luminaira,CA,531110,,1,3.0,1,0,1,0,4.24,1413.33,333.33,0.0,1,124,2.34,0.23,NORMAL RISK
TenFour Logistics LLC,TenFour Logistics LLC,OH,484110,"General freight trucking, local",21,45.0,24,0,18,0,63.53,1411.78,533.33,0.0,18,353,7.49,4.75,CRITICAL OUTLIER
SG HOMECARE INC,Glendale,CA,423450,Medical supplies merchant wholesalers,1,2.0,1,0,0,1,2.82,1410.0,500.0,0.0,1,32,5.13,-0.16,NORMAL RISK
Utz Quality Foods LLC,Decatur AL,AL,424410,General Line Grocery Merchant Wholesalers,1,2.0,1,0,0,1,2.82,1410.0,500.0,0.0,1,32,34.97,-0.61,NORMAL RISK
Rivanna Water and Sewer Authority,Moores Creek Wastewater Plant,VA,221320,Sewage treatment plants or facilities,1,4.0,3,0,1,0,5.63,1407.5,750.0,0.0,1,63,5.32,0.02,NORMAL RISK
Villa Esperanza Services,Allen,CA,623210,"Group homes, intellectual and developmental disability",1,3.0,1,0,1,0,4.22,1406.67,333.33,0.0,1,122,5.7,-0.07,NORMAL RISK
US Postal Service,NASHWAUK_1374438,MN,491110,Mail and Parcel Delivery,1,3.0,1,0,1,0,4.22,1406.67,333.33,0.0,1,122,9.91,-0.37,NORMAL RISK
Board of Commissioners of the County of Allen IN,Institutional Power Plant,IN,238910,Site Preparation Contractors,1,3.0,2,0,0,1,4.22,1406.67,666.67,0.0,1,72,3.32,0.16,NORMAL RISK
VAMAC Inc.,VAMAC Chesterfield,VA,423720,Plumbing supplies merchant wholesalers,1,4.0,2,0,1,1,5.62,1405.0,500.0,0.0,2,12,3.09,0.42,NORMAL RISK
